JrId	JournalTitle	NlmId	MedAbbr	IsoAbbr	ISSN (Print)	ISSN (Online)
28207	Archiv for pharmaci og chemi	0002217	Arch Pharm Chem (Kbh)	Arch Pharm Chem (Kbh)	0003-8938	
789	Archiv fur Kriminologie	0002256	Arch Kriminol	Arch Kriminol	0003-9225	
810	Archiv fur orthopadische und Unfall-Chirurgie	0002266	Arch Orthop Unfallchir	Arch Orthop Unfallchir	0003-9330	
34643	Archives de rhumatologie	0002331	Arch Rhumatol	Arch Rhumatol		
31370	Archives internationales de neurologie, des maladies hereditaires, de medecine mentale et psychosomatique	0002344	Arch Int Neurol	Arch Int Neurol		
28328	Archivos dominicanos de pediatria	0002442	Arch Domin Pediatr	Arch Domin Pediatr	0004-0606	
38060	Revista. Asociacion Colombiana de Medicos Veterinarios	0002545	Rev Asoc Columb Med Vet	Rev Asoc Columb Med Vet		
33523	Revista. Asociacion Medica Mexicana	0002552	Rev Asoc Medica Mex	Rev Asoc Medica Mex		
37997	Boletin veterinario	0002662	Bol Vet	Bol Vet		
27984	The Bombay Hospital journal	0002702	Bombay Hosp J	Bombay Hosp J	0524-0182	
8245	Zbornik. Vojnomedicinska akademija (Yugoslavia)	0003044	Zb Vojnomed Akad	Zb Vojnomed Akad	0513-3696	
37982	The Bengal public health journal	0003102	Bengal Public Health J	Bengal Public Health J	0365-9852	
988	Berliner und Munchener tierarztliche Wochenschrift	0003163	Berl Munch Tierarztl Wochenschr	Berl Munch Tierarztl Wochenschr	0005-9366	1439-0299
1151	Bio-Medical instrumentation	0003354	Biomed Instrum	Biomed Instrum		
1208	Birth defects original article series	0003403	Birth Defects Orig Artic Ser	Birth Defects Orig Artic Ser	0547-6844	
40238	Protein alterations in erythrocytes at low temperatures. Bjorksten Research Foundation	0003423	Protein Alter Erythroc Low Temp	Protein Alter Erythroc Low Temp		
44465	The British and foreign medical review	0004017	Br Foreign Med Rev	Br Foreign Med Rev		
44472	The British and foreign medico-chirurgical review	0004021	Br Foreign Med Chir Rev	Br Foreign Med Chir Rev		
1793	The British journal of dermatology	0004041	Br J Dermatol	Br J Dermatol	0007-0963	1365-2133
1832	The British journal of mathematical and statistical psychology	0004047	Br J Math Stat Psychol	Br J Math Stat Psychol	0007-1102	2044-8317
37175	Anales. Hospital Torcuato de Alvear (Buenos Aires, Argentina). Ateneo de Patologia y Clinica Medica	0004254	An Hosp Alvear B Aires	An Hosp Alvear B Aires		
2113	Bulletin of epizootic diseases of Africa. Bulletin des epizooties en Afrique	0004333	Bull Epizoot Dis Afr	Bull Epizoot Dis Afr	0007-487X	
31260	Bulletin of gastrointestinal endoscopy	0004334	Bull Gastrointest Endosc	Bull Gastrointest Endosc	1051-7472	
35873	Bulletin of practical ophthalmology	0004343	Bull Pract Ophthalmol	Bull Pract Ophthalmol		
2703	Cahiers de sociologie et de demographie medicales	0004455	Cah Sociol Demogr Med	Cah Sociol Demogr Med	0007-9995	
31369	Cahiers R. M. F.: bulletin medical-guide du praticien-revue medicale francaise	0004457	Cah Rmf Bull Med Guide Pract Rev	Cah Rmf Bull Med Guide Pract Rev		
2769	The Canadian veterinary journal = La revue veterinaire canadienne	0004653	Can Vet J	Can Vet J	0008-5286	
2810	Cardio-vascular nursing	0004704	Cardiovasc Nurs	Cardiovasc Nurs	0008-6355	
31157	Comptes rendus des travaux du Laboratoire Carlsberg. Serie physiologique	0004706	Cr Trav Lab Carlsberg Ser Physiol	Cr Trav Lab Carlsberg Ser Physiol		
2828	Casopis lekaru ceskych	0004743	Cas Lek Cesk	Cas Lek Cesk	0008-7335	1805-4420
2880	Ceskoslovenska oftalmologie	0005023	Cesk Oftalmol	Cesk Oftalmol	0009-059X	
2900	Chemistry in Britain	0005130	Chem Br	Chem Br	0009-3106	
2773	Chinese medical journal (Peking, China : 1932)	0005256	Chin Med J	Chin Med J	1002-0187	
2726	Zhonghua yi xue za zhi = Chinese medical journal; Free China ed	0005327	Zhonghua Yi Xue Za Zhi (Taipei)	Zhonghua Yi Xue Za Zhi (Taipei)	0578-1337	
2905	Zhonghua bing li xue za zhi = Chinese journal of pathology	0005331	Zhonghua Bing Li Xue Za Zhi	Zhonghua Bing Li Xue Za Zhi	0529-5807	
37998	Boletin. Colegio Medico de la Habana (Havana, Cuba)	0005610	Bol Col Med La Habana (La Habana)	Bol Col Med La Habana (La Habana)		
3111	Community mental health journal	0005735	Community Ment Health J	Community Ment Health J	0010-3853	1573-2789
3166	Contributions to sensory physiology	0006021	Contrib Sens Physiol	Contrib Sens Physiol	0069-9705	
36082	Croatica chemica acta. Arhiv za kemiju	0006226	Croat Chem Acta	Croat Chem Acta	0011-1643	
34644	Cruz Roja Cubana	0006250	Cruz Roja Cuba	Cruz Roja Cuba		
3198	Cryobiology	0006252	Cryobiology	Cryobiology	0011-2240	1090-2392
27981	Cuadernos medicos-sociales	0006253	Cuad Med Soc	Cuad Med Soc	0716-1336	
27982	Current sociology. La Sociologie contemporaine	0006276	Curr Sociol	Curr Sociol	0011-3921	
3245	Cutis	0006440	Cutis	Cutis	0011-4162	2326-6929
38061	Notes. Czechoslovak Medical Association in Great Britain	0006450	Notes Czechoslov Med Assoc G B	Notes Czechoslov Med Assoc G B		
27980	Demografia	0006522	Demografia	Demografia	0011-8249	
31156	Journal. Children's Asthma Research Institute and Hospital (Denver, Colo.)	0006601	J Child Asthma Res Inst Hosp Denver	J Child Asthma Res Inst Hosp Denver		
50459	The Dental register	0006672	Dent Regist	Dent Regist		
50406	The Dental reporter	0006673	Dent Report	Dent Report		
3462	Deutsche medizinische Wochenschrift (1946)	0006723	Dtsch Med Wochenschr	Dtsch Med Wochenschr	0012-0472	1439-4413
3392	Developmental medicine and child neurology	0006761	Dev Med Child Neurol	Dev Med Child Neurol	0012-1622	1469-8749
3394	Developmental medicine and child neurology. Supplement	0006762	Dev Med Child Neurol Suppl	Dev Med Child Neurol Suppl	0419-0238	1758-9428
3399	Diabetologia	0006777	Diabetologia	Diabetologia	0012-186X	1432-0428
3429	Divulgacion cultural odontologica	0007110	Divulg Cult Odontol	Divulg Cult Odontol	0070-6752	
23311	Dusseldorfer Arbeiten zur Geschichte der Medizin	0007200	Dusseld Arb Gesch Med	Dusseld Arb Gesch Med	0419-800X	
27979	Economic botany	0007275	Econ Bot	Econ Bot	0013-0001	1874-9364
28223	Edinburgh medical journal	0007305	Edinb Med J	Edinb Med J	0367-1038	
45961	[Eiyo to shokuryo] Journal of the Japanese Society of Food and Nutrition	0007504	Eiyo To Shokuryo	Eiyo To Shokuryo	0021-5376	1883-8863
3499	Eksperimentalna meditsina i morfologiia	0007506	Eksp Med Morfol	Eksp Med Morfol	0367-0643	
3544	Entomological news	0007616	Entomol News	Entomol News	0013-872X	2162-3236
22261	Experimental and molecular pathology. Supplement	0007677	Exp Mol Pathol Suppl	Exp Mol Pathol Suppl	0531-5522	
3747	Folia morphologica	0010076	Folia Morphol (Praha)	Folia Morphol (Praha)	0015-5640	
4173	Immunochemistry	0010301	Immunochemistry	Immunochemistry	0019-2791	
3835	Gaceta medica de Mexico	0010333	Gac Med Mex	Gac Med Mex	0016-3813	
3842	Gastrointestinal endoscopy	0010505	Gastrointest Endosc	Gastrointest Endosc	0016-5107	1097-6779
28331	Gazzetta chimica Italiana	0010615	Gazz Chim Ital	Gazz Chim Ital	0016-5603	
23310	Notes and queries	00110640R	Notes Queries	Notes Queries	0029-3970	1471-6941
3927	Gynakologische Rundschau	0011363	Gynakol Rundsch	Gynakol Rundsch	0017-6001	
34335	La Ginecologia	0011434	Ginecol	Ginecol	1121-1237	
33758	Hahnemann monthly	0011620	Hahnemann Mon	Hahnemann Mon		
31155	The Hahnemannian	0011622	Hahnemannian	Hahnemannian	0017-6621	
4055	Hoja tisiologica	0011672	Hoja Tisiol	Hoja Tisiol	0018-3326	
37055	The Hospital	0012036	Hospital (Lond 1886)	Hospital (Lond 1886)	0267-6478	
44467	The Hospital and health review	0012040	Hosp Health Rev	Hosp Health Rev	0268-3571	
3969	Health bulletin	0012330	Health Bull (Edinb)	Health Bull (Edinb)	0374-8014	
4128	Human development	0012445	Hum Dev	Hum Dev	0018-716X	1423-0054
4157	IEEE transactions on bio-medical engineering	0012737	IEEE Trans Biomed Eng	IEEE Trans Biomed Eng	0018-9294	1558-2531
8646	Israel journal of chemistry	0013103	Isr J Chem	Isr J Chem	0021-2148	1869-5868
33072	Israel journal of experimental medicine	0013104	Isr J Exp Med	Isr J Exp Med	0535-806X	
4394	Israel journal of medical sciences	0013105	Isr J Med Sci	Isr J Med Sci	0021-2180	
37586	Indian journal of anaesthesia	0013243	Indian J Anaesth	Indian J Anaesth	0019-5049	0976-2817
27978	The Indian journal of hospital pharmacy	0013252	Indian J Hosp Pharm	Indian J Hosp Pharm	0019-526X	
28186	Indian journal of psychiatry	0013255	Indian J Psychiatry	Indian J Psychiatry	0019-5545	1998-3794
41808	Indian phytopathology	0013260	Indian Phytopathol	Indian Phytopathol	0367-973X	2248-9800
27977	Indian psychological review	0013262	Indian Psychol Rev	Indian Psychol Rev	0019-6215	
38063	Jornal dos clinicos	0013615	J Clin	J Clin		
38062	International journal of sex-economy and orgone-research	0013665	Int J Sex Econ Orgone Res	Int J Sex Econ Orgone Res		
31663	Journal de radiologie, d'electrologie & archives d'electricite medicale	0013747	J Radiol Electrol Arch Electr Medicale	J Radiol Electrol Arch Electr Medicale	0368-394X	
31154	Journal of abnormal and social psychology	0014016	J Abnorm Soc Psychol	J Abnorm Soc Psychol	0096-851X	
4533	The Journal of auditory research	0014024	J Aud Res	J Aud Res	0021-9177	
4569	The Journal of bone and joint surgery. American volume	0014030	J Bone Joint Surg Am	J Bone Joint Surg Am	0021-9355	1535-1386
23342	Journal of the history of ideas	00140360R	J Hist Ideas	J Hist Ideas	0022-5037	1086-3222
4718	Journal of existentialism	0014050	J Existent	J Existent	0449-2498	
36414	Journal of experimental education	0014051	J Exp Educ	J Exp Educ	0022-0973	1940-0683
20961	Journal of food science	0014052	J Food Sci	J Food Sci	0022-1147	1750-3841
27976	Journal of heterocyclic chemistry	0014060	J Heterocycl Chem	J Heterocycl Chem	0022-152X	1943-5193
4838	Journal of invertebrate pathology	0014067	J Invertebr Pathol	J Invertebr Pathol	0022-2011	1096-0805
5436	Klinische Monatsblatter fur Augenheilkunde	0014133	Klin Monbl Augenheilkd	Klin Monbl Augenheilkd	0023-2165	1439-3999
30448	The Journal of mental science	0014157	J Ment Sci	J Ment Sci	0368-315X	
4936	Journal of music therapy	0014162	J Music Ther	J Music Ther	0022-2917	2053-7395
31153	The Journal of osteopathy	0014167	J Osteopath (Kirksvill)	J Osteopath (Kirksvill)		
5147	Journal of personality and social psychology	0014171	J Pers Soc Psychol	J Pers Soc Psychol	0022-3514	1939-1315
44473	Journal of psychological medicine and mental pathology (London, England : 1848)	0014204	J Psychol Med Ment Pathol	J Psychol Med Ment Pathol		
44475	Journal of public health, and sanitary review	0014206	J Public Health Sanit Rev	J Public Health Sanit Rev		
5220	Journal of public health dentistry	0014207	J Public Health Dent	J Public Health Dent	0022-4006	1752-7325
36113	The Journal of research in crime and delinquency	0014210	J Res Crime Delinq	J Res Crime Delinq	0022-4278	1552-731X
38064	La Juventud medica	0014405	Juv Med	Juv Med		
2057	Laboratory animal care	0015266	Lab Anim Care	Lab Anim Care	0094-5331	
31152	The Lahey Clinic bulletin	0015312	Lahey Clin Bull	Lahey Clin Bull	0099-815X	
31415	The London Hospital gazette	0015362	Lond Hosp Gaz	Lond Hosp Gaz	0024-6050	
44469	The London medical and physical journal	0015363	Lond Med Phys J	Lond Med Phys J	0267-0259	
44470	The London medical journal	0015370	Lond Med J	Lond Med J	0952-4177	
5469	The Lamp	0015376	Lamp	Lamp	0047-3936	
31151	Magyar noorvosok lapja	0016262	Magy Noorv Lapja	Magy Noorv Lapja	0025-021X	
44755	The Medico-chirurgical journal and review	0016576	Med Chir J Rev	Med Chir J Rev		
44753	Medico-chirurgical journal : or, Quarterly register of medical and surgical science	0016577	Med Chir J	Med Chir J		
31624	Medico; Europa Ausg	0016603	Medico (Eur)	Medico (Eur)	0543-3169	
31654	Medico; international ed	0016604	Medico (Int)	Medico (Int)		
38065	Medico-surgical suggestions	0016621	Med Surg Suggest	Med Surg Suggest		
37176	Bulletin. Massachusetts Dental Society	0017036	Bull Mass Dent Soc	Bull Mass Dent Soc		
34384	Mexico farmacetico	0017172	Mex Farm	Mex Farm		
31150	Medica Britannica	0017240	Med Br (Lond)	Med Br (Lond)		
37999	Medical abstracts	0017241	Med Abstr	Med Abstr		
5795	Michigan medicine	0017314	Mich Med	Mich Med	0026-2293	
44474	Medical critic and psychological journal	0017372	Med Crit Psychol J	Med Crit Psychol J		
44463	Medical facts and observations	0017416	Med Facts Obs	Med Facts Obs	0952-4185	
28208	The Medical officer	0017454	Med Off	Med Off	0025-7400	
31149	The Medical press	0017457	Med Press	Med Press		
44477	The Medical quarterly review	0017463	Med Q Rev	Med Q Rev		
33759	Mikrochemie	0017501	Mikrochemie	Mikrochemie	0369-0261	
5825	Militaerlaegen	0017523	Militaerlaegen	Militaerlaegen	0026-3834	
34385	The Medical way	0017615	Med Way	Med Way		
47863	Medicina internacia revuo	0017632	Med Int Rev	Med Int Rev	0465-5435	
31259	Mitteilungen aus dem Gebiete der Lebensmittel-untersuchung un Hygiene = Travaux de chimie alimentaire et d'hygiene	0017767	Mitt Geb Lebensmittelunters Hyg	Mitt Geb Lebensmittelunters Hyg	0026-6841	
6005	[Preconference papers]. National Dental Health Conference	0020066	Preconf Papers Natl Dent Health Conf (U S)	Preconf Papers Natl Dent Health Conf (U S)		
31148	Berichte. Naturforschende Gesellschaft zu Freiburg i. B	0020267	Ber Naturforsch Ges Freibg Br	Ber Naturforsch Ges Freibg Br		
1104	Nauchnye doklady vysshei shkoly. Biologicheskie nauki	0020417	Nauchnye Doki Vyss Shkoly Biol Nauki	Nauchnye Doki Vyss Shkoly Biol Nauki	0470-4606	
6074	Neuropatologia polska	0020712	Neuropatol Pol	Neuropatol Pol	0028-3894	
6083	Neuropsychologia	0020713	Neuropsychologia	Neuropsychologia	0028-3932	1873-3514
33708	Nowiny lekarskie : organ Wydzialu Lekarskiego Towarzystwa Przyjaciol Nauk Posnanskiego	0021114	Now Lekarskie Organ Wydz Lekarskiego Tow Przyj Nauk Posnanskiego	Now Lekarskie Organ Wydz Lekarskiego Tow Przyj Nauk Posnanskiego	0860-7397	
6213	Occupational health; a journal for occupational health nurses	0021263	Occup Health (Lond)	Occup Health (Lond)	0029-7917	
6203	New Zealand veterinary journal	0021406	N Z Vet J	N Z Vet J	0048-0169	1176-0710
28091	Nice medical	0021417	Nice Med	Nice Med	0545-9281	
35164	The Pedagogical seminary and journal of genetic psychology	0021740	Pedagog Semin J Genet Psychol	Pedagog Semin J Genet Psychol	0885-6559	
38000	Boletin. Peru. Servicio Nacional de Proteccion Materno-Infantil	0022164	Bol Serv Nac Prot Matern Infant Peru	Bol Serv Nac Prot Matern Infant Peru		
6308	L' Ospedale maggiore	0022210	Osp Maggiore	Osp Maggiore	0369-7843	
33571	Oto-rhino-laryngologia Danubiana	0022245	Otorhinolaryngol Danub	Otorhinolaryngol Danub		
6343	Padiatrie und Padologie	0022370	Padiatr Padol	Padiatr Padol	0030-9338	1613-7558
6447	Pharmakotherapia	0022452	Pharmakotherapia	Pharmakotherapia	0553-9439	
6461	Physical therapy	0022623	Phys Ther	Phys Ther	0031-9023	1538-6724
34386	Physician's bulletin	0022635	Physician's Bull	Physician's Bull		
2261	Bulletin de l'Institut national de la sante et de la recherche medicale	0022726	Bull Inst Natl Sante Rech Med	Bull Inst Natl Sante Rech Med	0553-2469	
33709	Practica medica	0023124	Supl Pract Med	Supl Pract Med		
6517	Polskie archiwum weterynaryjne	0023271	Pol Arch Weter	Pol Arch Weter	0079-3647	
35914	Preventive medicine	0023410	Prev Med (Baltim)	Prev Med (Baltim)		
6596	Prikladnaia biokhimiia i mikrobiologiia	0023416	Prikl Biokhim Mikrobiol	Prikl Biokhim Mikrobiol	0555-1099	
6549	Postepy biochemii	0023525	Postepy Biochem	Postepy Biochem	0032-5422	
31147	Revista argentina de neurologia y psiquiatria	0023573	Rev Argent Neurol Psiquiatr	Rev Argent Neurol Psiquiatr		
6699	Progress in experimental personality research	0023623	Prog Exp Pers Res	Prog Exp Pers Res	0079-6255	
6717	The Progressive nurse	0023627	Progress Nurse	Progress Nurse		
7054	Revista cubana de estomatologia	0023661	Rev Cubana Estomatol	Rev Cubana Estomatol	0034-7507	1561-297X
38066	Revista cubana de medicina sovietica	0023662	Rev Cuba Med Sov	Rev Cuba Med Sov		
7050	Revista del Colegio Medico de Guatemala	0023766	Rev Col Med Guatem	Rev Col Med Guatem	0413-3137	
27974	Revista ecuatoriana de medicina y ciencias biologicas	0023773	Rev Ecuat Med Cienc Biol	Rev Ecuat Med Cienc Biol	0034-9313	2477-9148
35915	Psicotecnia	0024022	Psicotecnia	Psicotecnia		
25802	Psychiatric opinion	0024025	Psychiatr Opin	Psychiatr Opin	0033-2712	
44445	The Psychological clinic	0024034	Psychol Clin	Psychol Clin		
6798	Psychotherapy and psychosomatics	0024046	Psychother Psychosom	Psychother Psychosom	0033-3190	1423-0348
33388	Public health papers and reports	0024060	Public Health Pap Rep	Public Health Pap Rep	0737-8769	
6809	Public welfare	0024064	Public Welf	Public Welf	0033-3816	
31623	Radiologia clinica	0024237	Radiol Clin	Radiol Clin		
31383	Remedes-Actualites	0024571	Rem Actual	Rem Actual	0484-3800	
37177	Revista militar de remonta e veterinaria	0024646	Rev Mil Remonta Vet	Rev Mil Remonta Vet		
34607	Reumatologia polska	0024675	Reumatol Pol	Reumatol Pol	0484-5986	
7234	Revue d'odonto-stomatologie du midi de la France	0024724	Rev Odontostomatol Midi Fr	Rev Odontostomatol Midi Fr	0035-2470	
7119	La Revue francaise de la prothese dentaire	0024731	Rev Fr Prothese Dent	Rev Fr Prothese Dent	0048-8089	
28326	Revue internationale de criminologie et de police technique	0024737	Rev Int Criminol Police Tech	Rev Int Criminol Police Tech	0035-3329	
44242	Revue roumaine du chimie	0024764	Rev Roum Chim	Rev Roum Chim	0035-3930	
31483	Biulleten'. Russian S.F.S.R. Ministerstvo Zdravookhraneniia. Uchenyi meditsinskii sovet	0025435	Biulleten Russ SFSR Minist Zdravookhraneniia Uchenyi Meditsinskii sov	Biulleten Russ SFSR Minist Zdravookhraneniia Uchenyi Meditsinskii sov		
44468	The Sanitary review and journal of public health	0025637	Sanit Rev J Public Health	Sanit Rev J Public Health		
38001	"Boletin. Hospital-Sanatorio ""El Peral"", Santiago de Chile"	0025654	Bol Hosp Sanat Peral Santiago Chile	Bol Hosp Sanat Peral Santiago Chile		
7393	Sbornik lekarsky	0025770	Sb Lek	Sb Lek	0036-5327	
33487	Schweizerische Blatter fur Krankenpflege. Revue suisse des infirmieres	0026222	Schweiz Bl Krankenpfl	Schweiz Bl Krankenpfl		
33760	Sciences	0026247	Sciences	Sciences		
31146	Scientia pharmaceutica	0026251	Sci Pharm	Sci Pharm	0036-8709	2218-0532
34441	Skandinavisk veterinar-tidsskrift for bakteriologi, patologi, samt kjottoch mjolkhygienen	0026740	Skandinavisk Vet Tidsskr Bakteriol Patol Samt Kjottoch Mjokhygienen	Skandinavisk Vet Tidsskr Bakteriol Patol Samt Kjottoch Mjokhygienen		
7274	Revista. Sociedad Colombiana de Ortodoncia	0027050	Rev Soc Colomb Ortod	Rev Soc Colomb Ortod		
38417	Anales. Sociedad Mexicana de Oftalmologia y Oto-rino-laringologia	0027065	An Soc Mex Oftalmol Otorinolaringol	An Soc Mex Oftalmol Otorinolaringol		
34645	Bulletin de la Societe d'ophtalmologie de Paris et des societes d'ophtalmologie de l'Est, de Lyon et de l'Ouest. Societe d'ophtalmologie de Paris	0027133	Bull Soc Ophtalmol Paris Soc Ophtalmol Est Lyon Ouest	Bull Soc Ophtalmol Paris Soc Ophtalmol Est Lyon Ouest		
28325	Sociologus; Zeitschrift fur empirische Soziologie, sozialpsychologische und ethnologische Forschung. A Journal for empirical sociology, social psychology, and ethnic research	0027176	Sociologus	Sociologus	0038-0377	
3905	Glas. Srpska akademija nauka i umetnosti. Odeljenje medicinskih nauka	0027437	Glas Srp Akad Nauka Med	Glas Srp Akad Nauka Med	0371-4039	
7584	Srpski arhiv za celokupno lekarstvo	0027440	Srp Arh Celok Lek	Srp Arh Celok Lek	0370-8179	2406-0895
27973	Applied statistics	0027501	Appl Stat	Appl Stat		
31813	Food research	0027704	Food Res	Food Res	0095-974X	
5468	Lakartidningen	0027707	Lakartidningen	Lakartidningen	0023-7205	1652-7518
30447	Svenska lakartidningen	0030130	Sven Lakartidn	Sven Lakartidn		
7889	L'union medicale du Canada	0030444	Union Med Can	Union Med Can	0041-6959	
30446	Veska	0031153	Veska	Veska		
7986	The Veterinary record	0031164	Vet Rec	Vet Rec	0042-4900	2042-7670
8000	Vina quarterly	0031221	VINA Q	VINA Q	0049-6464	
27972	Western journal of surgery, obstetrics, and gynecology	0031306	West J Surg Obstet Gynecol	West J Surg Obstet Gynecol		
37178	The Western druggist	0031315	West Drug (Vanc)	West Drug (Vanc)	0700-7248	
38155	War medicine	0031333	War Med (Chic 1941)	War Med (Chic 1941)	0096-5634	
21971	Zoologischer Anzeiger	0031351	Zool Anz	Zool Anz	0044-5231	
35916	La technique sanitaire et municipale	0031517	Tech Sanit Munic	Tech Sanit Munic	0767-9599	
7744	Tijdschrift voor diergeneeskunde	0031550	Tijdschr Diergeneeskd	Tijdschr Diergeneeskd	0040-7453	
38067	Zhonghua yi xue za zhi	0031651	Zhonghua Yi Xue Za Zhi	Zhonghua Yi Xue Za Zhi		
31145	Minerva fisioterapica e radiobiologica	0031734	Minerva Fisioter Radiobiol	Minerva Fisioter Radiobiol		
31144	Tijdschrift Voor Tandheelkunde	0032075	Tijdschr Tandheelkd	Tijdschr Tandheelkd	0920-6078	
32111	Tijdschrift voor ziekenverpleging	0032101	Tijdschr Voor Ziekenverpl	Tijdschr Voor Ziekenverpl		
21688	Dong wu xue bao. [Acta zoologica Sinica]	0032151	Dong Wu Xue Bao	Dong Wu Xue Bao	0001-7302	
32083	Bulletin of the U.S. Army Medical Department. United States. Army. Medical Department	0032166	Bull U S Army Med Dep	Bull U S Army Med Dep	0096-9443	
7338	[Technical report] SAM-TR. USAF School of Aerospace Medicine	0032306	Tech Rep SAM-TR	Tech Rep SAM-TR		
7923	AMRL-TR. Aerospace Medical Research Laboratories (U.S.)	0032311	AMRL TR	AMRL TR		
27971	University of Pennsylvania medical bulletin	0032342	Univ Pa Med Bull	Univ Pa Med Bull	0500-6112	
31143	Urologiia (Moscow, Russia : 1923)	0032351	Urol Mosc	Urol Mosc		
7900	Urologiia i nefrologiia	0032352	Urol Nefrol (Mosk)	Urol Nefrol (Mosk)	0042-1154	
32085	Bulletin. Vancouver Medical Association	0032450	Bull Vanc Med Assoc	Bull Vanc Med Assoc		
8022	Vital and health statistics. Series 21, Data from the National Vital Statistics System	0032510	Vital Health Stat 21	Vital Health Stat 21	0083-2030	2333-2409
8050	Vutreshni bolesti	0032666	Vutr Boles	Vutr Boles	0506-2772	
8100	World's poultry science journal	0033040	Worlds Poult Sci J	Worlds Poult Sci J	0043-9339	1743-4777
8088	World hospitals	0033046	World Hosp	World Hosp	0512-3135	
29897	Zeitschrift fur wissenschartliche Zoologie	0033325	Z Wiss Zool	Z Wiss Zool		
8181	Zeitschrift fur Unfallmedizin und Berufskrankheiten. Revue de medecine des accidents et des maladies professionelles	0033334	Z Unfallmed Berufskr	Z Unfallmed Berufskr	0044-3603	
8176	Zeitschrift fur Tierphysiologie, Tierernahrung und Futtermittelkunde	0033335	Z Tierphysiol Tierernahr Futtermittelkd	Z Tierphysiol Tierernahr Futtermittelkd	0044-3565	
8177	Zeitschrift fur Tierpsychologie	0033336	Z Tierpsychol	Z Tierpsychol	0044-3573	
31368	Zeitschrift fur menschliche Vererbungs- und Konstitutionslehre	0033356	Z Mensch Vererb Konstitutionsl	Z Mensch Vererb Konstitutionsl		
31645	Zeitschrift fur Immunitatsforschung und experimentelle Therapie	0033360	Z Immun exp ther	Z Immun exp ther	0372-9052	
8128	Zeitschrift fur Gastroenterologie	0033370	Z Gastroenterol	Z Gastroenterol	0044-2771	1439-7803
42001	Zeitschrift fur anorganische und allgemeine Chemie	0033401	Z Anorg Allg Chem	Z Anorg Allg Chem	0044-2313	1521-3749
2851	Certified dental technician	0033473	Certif Dent Tech	Certif Dent Tech		
23309	Cuadernos de historia de la salud publica	0033567	Cuad Hist Salud Publica	Cuad Hist Salud Publica	1013-2821	1561-2899
3465	Deutsche tierarztliche Wochenschrift	0033620	Dtsch Tierarztl Wochenschr	Dtsch Tierarztl Wochenschr	0012-0847	
3502	Electrodiagnostic-Therapie	0033671	Electrodiagn Ther	Electrodiagn Ther	0424-8120	
3597	Estomatologia	0033754	Estomatologia	Estomatologia	0014-1356	
28084	L' Ethnographie	0033760	Ethnographie.	Ethnographie.		
